Star Name,Distance (ly),Mass (M☉),Radius (R☉),Surface Gravity (m/s²)
2MASS J21481628+4003593,26.3,0.05250234,0.1017353699999999,1390.4370532637279
2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.16153675250763
2MASSW J2208136+292121,154.0,0.025773876,0.1448958299999999,336.49961461058786
2MASSW J2224438-015852,38.0,0.058229868,0.1017353699999999,1542.1210954379526
2MASS J22282889-4310262,35.0,0.040092696,0.0965972199999999,1177.7486511370575
2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1672.3039433327008
2MASSW J2244316+204343,56.0,0.011455056,0.1325642699999999,178.67379332366767
2MASS J23224684-3133231,56.0,0.022910112,0.1428405699999999,307.7801971636203
2MASS J23225299-6151275,148.0,0.016227996,0.16339317,166.61484945837302
2MASS J23515044-2537367,67.0,0.084003744,0.1192050799999999,1620.4130272339826
2MASSI J2356547-155310,74.0,0.07636704,0.11201167,1668.3840275505147
WISE 0410+1502,20.0,0.005727528,0.1202327099999999,108.60218404190057
WISE 0458+6434A,35.9,0.01431882,0.4316046,21.069377796904398
WISE 0458+6434B,35.9,0.00954588,0.3904993999999999,17.15899466008282
WISE 1405+5534,25.3,0.02863764,0.08837618,1005.0400874456292
